,en_text,th_text
125483,Sure! I can help doing that!,ได้เลยค่ะ เดี๋ยวสั่งให้ค่ะ
31166,Got it! What type of ride do you want?,รับทราบ ต้องการรถแบบไหนคะ
129648,"Well, right now we need to picked from the Los Tacos No.1 in New York City and then taken to the local theater on 34th Street. So, AMC, 34th Street 14 is the theater that we need to go to.",ค่ะ ตอนนี้อยากให้มารับที่ลอส ทาโก้นัมเบอร์ วัน ในนิวยอร์กซิตี้ค่ะ ไปส่งที่โรงละคร 34 บนถนน 14 ก็คือ โรงเอเอ็มซี ถนน 34 คือโรงละครที่เราจะไปค่ะ
160158,"I'm in Houston, Texas, and I don't And I'm visiting. I don't know any movie theaters around me.",ฉันอยู่ในฮูสตัน เท็กซัสค่ะ ฉันมาเยี่ยมคนรู้จักค่ะ ฉันไม่รู้เลยว่าแถวนี้มีโรงหนังอะไรบ้าง
212472,"Somewhere not too far from where I am right now. I'm at I'm in midtown, near L Street and 19th Street.",ที่ไหนก็ได้ที่ไม่ไกลจากที่อยู่ตอนนี้ค่ะ ตอนนี้อยู่ในเมือง ใกล้กับแอลและไนน์ทีนสตรีต
29818,Of course sir. Where are you coming from and going to?,ได้เลยค่ะ มาจากไหนและจะไปไหนคะ
158509,Great. Can I confirm the appointment for you?,ดีเลยค่ะ ให้คอนเฟิร์มการจองเลยมั้ยคะ?
56083,Yes there is a 9:10pm playing at the CINEMARK USA in San Jose.,ได้ค่ะ มีรอบฉาย 3 ทุ่ม 10 นาที โรงซินีมาร์ก ยูเอสเอ ในซานโฮเซค่ะ
131408,The Starbucks off of Sydney Marcus in the Home Depot Shopping center.,สตาร์บัคส์ตรงซิดนีย์มาร์คัสในห้างสรรพสินค้าโฮมดีโปต์
209222,let me know if i got anything wrong please.,บอกฉันถ้าหาว่ามีอะไรผิดพลาดนะคะ
95663,No problem. Where are you and where are you going?,ไม่มีปัญหาค่ะ คุณอยู่ที่ไหนและต้องการไปที่ไหนคะ?
23284,It's Jane. How are you?,นี่พี่เจนนะ เป็นยังไงบ้าง
64188,"Tickets for ""Us""",ซื้อตั๋วเรื่อง อัส หน่อยค่ะ
164596,did you want me to book the appointment?,อยากให้ทำนัดให้เลยมั้ยคะ?
9000,621 Lordens Ave.,621 ลอร์เดนส์แอฟเวนิวค่ะ
215639,"Hi, I would like to order pizza from Bella Luna.",สวัสดีค่ะ ต้องการสั่งพิซซ่าจากเบลลาลูนาค่ะ
151567,"sure, what starbucks should i place the order at?",ได้ค่ะ สตาร์บัคสาขาไหนคะ
106622,I'm sorry to inform you that stone crab is unavailable.,ขอโทษด้วยนะคะ แต่ว่าปูหมดค่ะ
123027,"Sure, boss, are you still at your hotel?",ได้ค่ะบอส ยังอยู่ที่โรงแรมหรือเปล่าคะ
8654,"I cannot wait that long, this is an urgent issue. I don't feel safe.",ฉันรอนานขนาดนั้นไม่ได้หรอกค่ะ มันเป็นเรื่องเร่งด่วน ฉันรู้สึกไม่ปลอดภัยเลย
192470,"Yes. One more pizza, also a medium, and I'd like to get a chicken barbecue.",ค่ะ พิซซ่าอีกถาดอยากได้ไซส์กลาง หน้าไก่บาร์บีคิวค่ะ
77835,With whipped cream or not?,ใส่วิปครีมไหมคะ
116575,3 tickets is $36 for that showtime. book it now?,3ใบ $36 นะคะสำหรับรอบนั้น จองเลยมั้ย?
175184,"or find a place, rather, in Sacramento.",หรือไม่ก็หาร้านในซาคราเมนโต้ค่ะ
78862,And it looks like they don't have an indoor booth near the TV at that time. Is outdoors okay or at a table instead of booth?,แล้วก็ดูเหมือนว่าเขาจะไม่มีบูธในร่มใกล้ทีวีช่วงนั้นค่ะ ถ้านั่งด้านนอกหรือนั่งโต๊ะแทนที่จะเป็นบูธโอเคมั้ยคะ
110865,"Yeah, so here's what's happening is it keeps stalling out a long traffic lights. So, whenever it hit along light you know, it's just it's turn off. It'll It'll stall at that red light.",ครับ ก็คือ รถคอยจะดับอยู่ตลอดตอนไฟแดงนาน ๆ น่ะครับ งั้น เมื่อไรก็ตามที่เจอไฟแดงนาน ๆ รถก็ดับไปเลย จะดับที่ไฟแดงนั้นเลยครับ
177460,you said 234-487-5255.,คุณบอกว่า 234-487-5255
18084,Let me think... can you see if they have bacon bits available?,คิดแปปนะคะ ช่วยดูให้หน่อยนะคะว่ามีเบคอนชิ้นเล็กรึเปล่า
154742,"Hello PA, can you see if you can reach pizza palace for me""",สวัสดีค่ะคุณผู้ช่วยส่วนตัว คุณช่วยสั่งพิซซ่าพาเลซให้หน่อยได้ไหม
93020,"There's almond, coconut, nonfat...",มีนมอัลมอลด์ กะทิ นมขาดมันเนย...
11241,Sir your total is $13 you want to pay with same card which ends in 0298,ทั้งหมด $13 ค่ะ จ่ายด้วยการ์ดใบเดิมที่ลงท้ายด้วยเลข 0298 เลยมั้ยคะ
190826,"Perfect, thank you so much for your help.",เยี่ยมเลยค่ะ ขอบคุณสำหรับความช่วยเหลือค่ะ
70940,"sure, they can substitute one for the other _ say mushrooms for olives for visa versa",ได้ค่ะ จะใส่แทนให้นะคะ เอาเป็นเห็ดหรือมะกอกถ้ามี
153776,Thank you. I'll try to. Enjoy the rest of your day.,ขอบคุณค่ะ จะพยายามค่ะ ขอให้มีความสุขนะคะ
17234,I have placed the order and it will be ready for pickup in about 25 minutes.,สั่งไปแล้วนะคะ ไปรับได้ในอีก 25 นาทีนี้ค่ะ
81170,"of course, I want to eat at Imanas tei",แน่นอน ฉันอยากไปที่อิมานัสเทอิ
221842,"sure, i can set that up. where do you want to be picked up?",ได้ค่ะ จะทำการจองให้นะคะ ไม่ทราบว่าให้ไปรับที่ไหนคะ
5593,"Unfortunately, there are no tables available outside at that time.",น่าเสียดายค่ะ ไม่มีโต๊ะด้านนอกว่างเลยค่ะตอนนั้น
87146,You're right. No banana peppers. Peppers and Onions. Lets keep it simple.,ก็จริงของคุณนะคะ เอาแค่พริกหวานกับหอมใหญ่ ก็พอค่ะ
17979,I'll send confirmation and the electronic tickets as a text now to your mobile device.,จะส่งใบยืนยันข้อมูลการซื้อ แล้วก็ตั๋วอิเล็กทรอนิกส์ไปเป็นข้อความ ทางโทรศัพท์นะคะ
93253,"I am at Uncle Leo's Pizza in St. Louis, and I am going to the Paragon Theatre.",ตอนนี้อยู่ที่อังเคิล ลีโอส์ พิซซ่าในเซนต์หลุยส์ และจะไปที่โรงภาพยนตร์พารากอนค่ะ
9657,"ok, I can set that up for you. I will call you back afterward.",โอเคค่ะ จะจัดการให้ค่ะ เดี๋ยวจะโทรกลับไปภายหลังนะคะ
193165,"sure, and to confirm, you want to order from bella lunas right?",ได้ค่ะ จากร้านเบลล่าลูน่าใช่มั้ยคะ
66032,OK - which place?,โอเคค่ะ ที่ไหนคะ
203916,Great! 2 tickets will be $26.33.,ดีค่ะ ตั๋ว 2 ใบเป็น $26.33 ค่ะ
83478,"Jordan, you know darn well the kids aren't going to ride with strangers.",จอร์แดนคะ เธอก็รู้ว่าเด็ก ๆ ไม่ชอบนั่งรถกับคนแปลกหน้า
150471,"i have ordered you an uberxl going from cinemark to tululu's garden, your driver will be arriving in 6 minutes and your receipt will be texted to you.",จองรถอูเบอร์เอ็กซ์แอลจากซินีม่าพาร์คไปที่สวนทูลูลูแล้วนะคะ คนขับจะไปถึงใน 6 นาที และจะได้รับใบเสร็จเป็นข้อความค่ะ
12304,I'm in Manhattan,อยู่ที่แมนฮัตตันอ่ะค่ะ
51075,Are you on a limited budget for the taxi fare?,มีงบจำกัดสำหรับค่าแท็กซี่หรือเปล่าคะ
18330,the driver name is roger,คนขับชื่อ โรเจอร์ นะคะ
105027,Yes I can reserve tickets for you for What Men Want. At what location should the tickets be reserved?,ค่ะ จองตั๋วหนังเรื่องวอทเม็นวอนท์ให้ได้ค่ะ ให้จองที่ไหนคะ
111253,I want to order a cup of coffee from Starbucks.,อยากสั่งกาแฟ สักแก้วจากสตาร์บัคค่ะ
94206,No problem. I suppose I should of asked which one of your cars are you driving today?,ไม่มีปัญหาค่ะ ฉันคาดว่าฉันควรจะถามว่าวันนี้คุณขับรถคันไหนคะ?
122688,Is there a particular theater you are interested in?,มีโรงไหนที่พี่สนใจเป็นพิเศษไหมคะ
221603,I'd like a Vanilla latte.,อยากได้วินิลลาลาเต้
84773,"There is a showing at 8:45 pm at AMC Lake Worth 14, but the avengers is going to be showing at 7:45 that is closer to the time you wanted. What would you like to do?",ที่โรงหนังเอเอ็มซีเลคเวิร์ธ 14 มีรอยฉายตอนสองทุ่ม 45 นาทีค่ะ แต่เรื่องอเวนเจอร์สจะมีฉายตอนรอบหนึ่งทุ่ม 45 นาที ใกล้กับเวลาที่คุณต้องการมากกว่าค่ะ จะให้ทำยังไงต่อดีคะ
108338,Sounds good. Does it have vegetarian options?,ฟังดูดีนะคะ มีเมนูมังสวิรัติมั้ยคะ
163154,Anything else i can help with?,มีอะไรให้ฉันช่วยอีกไหมคะ
182578,McAllen's 10th Street.,แมคอัลเลน ถนน 10 จ้ะ
18622,"Let me see. No, actually they don't have slot before 12.",ขอฉันเช็คหน่อยนะ ไม่ได้หรอก พวกเขาไม่มีเวลาว่างก่อนเที่ยงเลย
13743,That's great. Where is the table?,เยี่ยมค่ะ โต๊ะอยู่ตรงไหนเหรอคะ
194367,Okay. I'll go ahead and go with Benihana.,โอเค งั้นเลือกร้ายเบนิฮานะนี่ล่ะ
112492,That would be all. Thank you.,แค่นี้ล่ะค่ะ ขอบคุณนะคะ
108711,"How about that upscale place called ""Bellissimo!"" I hear it's gorgeous too. I can see if they have outside tables or a balcony as well.","แล้วสนใจร้านหรู ๆ ที่ชื่อ ""เบลิสซีโม"" มั้ยคะ ได้ยินมาว่าร้านนี้ก็ดีมากเหมือนกัน ฉันช่วยเช็กให้ได้นะคะว่าพวกเขามีโต๊ะด้านนอกร้านหรือตรงระเบียงรึเปล่า"
96263,I'd like a Lyft ride,ฉันต้องการจองรถลิฟท์ค่ะ
156232,Okay. Thank you. Will you send me the the ride details?,ขอบคุณค่ะ คุณจะส่งข้อมูลการเดินทางมาให้ฉันไหมคะ
176470,Larry l a r r y David d a v i d.,แลรี่ แอล เอ อาร์ อาร์ วาย เดวิด ดี เอ วี ไอ ดีครับ
104153,Papa John's.,พาพาจอห์นส์ค่ะ
195289,"so 2 large pizzas. one with buffalo chicken and onions. the other with sausage and peppers. thin crust for both, correct?",เป็นพิซซ่า 2 ถาดใหญ่ หน้าไก่กับหอมใหญ่ 1 ถาด หน้าไส้กรอกกับพริกไทย 1 ถาด เป้นแป้งบางกรอบทั้งคู่ ถูกต้องไหมคะ
109170,"Perfect, thanks",เพอร์เฟ็กต์ ขอบคุณนะคะ
207056,But they they're only a few blocks apart.,แต่มัน มันก็ห่างไปแค่ไม่กี่บล็อก
6826,The pizza will be ready in twenty-five minutes. The payment is automatic and a receipt will be sent to you mobile phone.,พิซซ่าจะพร้อมในอีกยี่สิบห้านาทีนะคะ การชำระเงินเป็นแบบอัตโนมัติและใบเสร็จจะส่งไปที่โทรศัพท์นะคะ
191716,"Okay, and when did you want that looked at?",ค่ะ สะดวกนำรถเข้าศูนย์เมื่อไหร่คะ
171405,Awesome. Thank you for looking that up. Have a great day.,เยี่ยมเลย ขอบคุณที่หาให้นะคะ ขอให้เป็นวันที่ดีค่ะ
72782,Gate C-7.,เกท C-7
168460,Sure! Is this for pick up or delivery?,ได้ค่ะ สำหรับไปรับเองหรือจัดส่งคะ
5929,"No, just the specialty pizza.",ไม่ล่ะ เอาแค่พิซซ่าหน้าพิเศษก็พอ
117817,"ok, your total is $49.50.",โอเค ทั้งหมด $49.50 ค่ะ
188526,seven hills is described as a Lively Italian eatery serving farm-to-table Roman fare with an inventive twist in a candlelit space.,เซเว่นฮิลส์เป็นร้านอาหารอิตาเลียนบรรยากาศมีชีวิตชีวา เสิร์ฟอาหารสไตล์โรมสดจากฟาร์มแต่สร้างสรรค์ บนโต๊ะจะมีเทียนจุดไว้ค่ะ
99544,"I need you to make an appointment for service on my car, tell them it is feeling sluggish when I am entering the highway or trying to pick up speed.",อยากให้นัดดูรถให้หน่อยค่ะ บอกทางอู่ไปนะคะว่ารถมันช้าเป็นเต่าเลยตอนขึ้นทางด่วนกับตอนเร่งความเร็วน่ะค่ะ
118705,The cost for Uber pool would be 4.15,ราคาอูเบอร์พูลอยู่ที่ 4.15 ค่ะ
75933,What toppings would you like instead?,รับเป็นอย่างอื่นแทนไหมคะ
95644,"Hey, can I have you order me a coffee from Starbucks.",เฮ้ คุณช่วยสั่งกาแฟจากสตาร์บักส์ให้หน่อยได้มั้ยคะ?
61679,And one large veggie pizza.,แล้วอีกถาดเป็นถาดใหญ่หน้าเวจจีค่ะ
52893,"Yes, sir. So put you down for 9:15am?",ใช่ค่ะ ให้จองคิวตอน 9 โมง 15 เลยใช่มั้ยคะ
112768,"let me confirm your order: a grande cafe mocha, with 2% milk and whipped cream. is this correct?",ขอทวนรายการนะคะ คาเฟ่มอคค่าไซส์กรานเด ใส่นม2% กับวิปครีม ถูกต้องไหมคะ
143746,"3265 Northeast Expy, Chamblee, GA 30341",3265 ทางหลวง ตะวันออกเฉียงเหนือ แชมบลี จอร์เจีย 30341
99257,Is there a better option?,มีอะไรดีกว่านี้อีกมั้ยคะ
21541,"Unfortunately they do not have mushrooms tonight, so you'll have to think of a different pizza that you'd like",โชคไม่ดีเลย เขาไม่มีเห็ดคืนนี้ค่ะ งั้นพี่จะต้องเอาพิซซ่าหน้าอื่นแล้ว
116455,got it. what movie would you like to see?,ได้ค่ะ อยากดูเรื่องอะไรดีคะ?
215054,thank you! what do you need to bring your car in for?,ขอบคุณค่ะ ทำไมถึงนำรถเข้าศูนย์คะ
113437,WHat size?,ไซส์ไหนคะ
81871,Would you like whipped cream on that?,เพิ่มวิปครีมไหมคะ
166640,ok. give me a second while i search that for you.,โอเคค่ะ ขอเวลาหาให้สักครู่นะคะ
191709,Can you spell that?,ช่วยสะกดหน่อยได้มั้ยคะ
903,Okay. Which day and time do you want the appointment?,โอเคค่ะ นัดวันและเวลาไหนดีคะ?
125147,Anything else i can do for you?,ต้องการอะไรเพิ่มมั้ยคะ
81085,Is there another location that may have this available.,มีโรงหนังไหนที่มีแบบที่ฉันอยากได้อีกไหม
